14.6,6.448,13.352,36.22,0.8,0,0,0,15.1,6.264333333,13.47033333,37.42333333,0.8,0,0.533333333,0,35.92
14.7,6.605,13.52,35.92,0,0,0,0.8,14.73333333,6.354,13.277,36.81666667,0.8,0,0,0.266666667,36.61
14.4,6.349,13.019,36.61,0,0,0,0,14.56666667,6.467333333,13.297,36.25,0.266666667,0,0,0.266666667,35.6
13.4,5.806,11.879,35.6,0,0,0,0,14.16666667,6.253333333,12.806,36.04333333,0,0,0,0.266666667,33.17
12.65,5.476,11.051,33.17,0,0,0,0,13.48333333,5.877,11.983,35.12666667,0,0,0,0,30.73
11.9,5.275,10.437,30.73,0,0,0,0,12.65,5.519,11.12233333,33.16666667,0,0,0,0,29.24
11.4,5.103,9.913,29.24,0,0,28.8,0,11.98333333,5.284666667,10.467,31.04666667,0,0,9.6,0,27.48
10.8,4.866,9.478,27.48,0,0,0.8,0,11.36666667,5.081333333,9.942666667,29.15,0,0,9.866666667,0,26.18
10.4,4.676,8.969,26.18,0,0,8,0,10.86666667,4.881666667,9.453333333,27.63333333,0,0,12.53333333,0,25.14
10.3,4.569,8.846,25.14,1.6,0,38.4,17.6,10.5,4.703666667,9.097666667,26.26666667,0.533333333,0,15.73333333,5.866666667,24.24
9.84,4.378,8.552,24.24,0,0,2.4,0,10.18,4.541,8.789,25.18666667,0.533333333,0,16.26666667,5.866666667,23.59
9.46,4.089,8.719,23.59,0,0,6.4,0.8,9.866666667,4.345333333,8.705666667,24.32333333,0.533333333,0,15.73333333,6.133333333,22.7
8.87,3.945,8.013,22.7,0,0,0,0,9.39,4.137333333,8.428,23.51,0,0,2.933333333,0.266666667,21.52
8.52,3.777,7.723,21.52,1.6,0,0.8,1.6,8.95,3.937,8.151666667,22.60333333,0.533333333,0,2.4,0.8,20.43
8.71,3.617,7.497,20.43,0,0,1.6,0,8.7,3.779666667,7.744333333,21.55,0.533333333,0,0.8,0.533333333,20.35
8.5,3.551,7.268,20.35,0,0,0,0,8.576666667,3.648333333,7.496,20.76666667,0.533333333,0,0.8,0.533333333,20.12
8.48,3.146,7.078,20.12,1.6,0.8,12,51.2,8.563333333,3.438,7.281,20.3,0.533333333,0.266666667,4.533333333,17.06666667,19.47
8.88,3.278,8.167,19.47,16.8,15.2,4.8,8,8.62,3.325,7.504333333,19.98,6.133333333,5.333333333,5.6,19.73333333,20.01
9.45,3.131,8.87,20.01,5.6,0.8,10.4,4,8.936666667,3.185,8.038333333,19.86666667,8,5.6,9.066666667,21.06666667,21.74
8.59,2.966,7.842,21.74,5.6,15.2,0.8,0,8.973333333,3.125,8.293,20.40666667,9.333333333,10.4,5.333333333,4,20.26
8.94,3.36,7.604,20.26,21.6,16,1.6,11.2,8.993333333,3.152333333,8.105333333,20.67,10.93333333,10.66666667,4.266666667,5.066666667,20.76
11.5,3.4,7.539,20.76,1.6,0,0.8,9.6,9.676666667,3.242,7.661666667,20.92,9.6,10.4,1.066666667,6.933333333,23.62
12.5,3.783,7.599,23.62,1.6,0,0.8,2.4,10.98,3.514333333,7.580666667,21.54666667,8.266666667,5.333333333,1.066666667,7.733333333,26.09
10.9,3.613,7.571,26.09,1.6,0,0,0.8,11.63333333,3.598666667,7.569666667,23.49,1.6,0,0.533333333,4.266666667,24.17
11.2,3.698,9.979,24.17,0,0,2.4,0.8,11.53333333,3.698,8.383,24.62666667,1.066666667,0,1.066666667,1.333333333,23.07
21.8,4.007,18.978,23.07,0,0,0,0,14.63333333,3.772666667,12.176,24.44333333,0.533333333,0,0.8,0.533333333,41.84
15.6,3.295,13.159,41.84,0,0,0,0,16.2,3.666666667,14.03866667,29.69333333,0,0,0.8,0.266666667,36.05
11.8,3.052,10.379,36.05,0,0,0,0,16.4,3.451333333,14.172,33.65333333,0,0,0,0,28.01
10.5,2.906,9.187,28.01,0,0,0,0,12.63333333,3.084333333,10.90833333,35.3,0,0,0,0,24.2
9.58,2.791,8.292,24.2,0,0,3.2,4,10.62666667,2.916333333,9.286,29.42,0,0,1.066666667,1.333333333,22
8.99,2.869,7.826,22,0,0.8,5.6,1.6,9.69,2.855333333,8.435,24.73666667,0,0.266666667,2.933333333,1.866666667,20.62
9.03,2.806,7.783,20.62,1.6,0,8,15.2,9.2,2.822,7.967,22.27333333,0.533333333,0.266666667,5.6,6.933333333,20.02
8.95,2.746,7.741,20.02,0.8,0,23.2,6.4,8.99,2.807,7.783333333,20.88,0.8,0.266666667,12.26666667,7.733333333,20.56
9.01,2.643,8.101,20.56,0,0,61.6,0,8.996666667,2.731666667,7.875,20.4,0.8,0,30.93333333,7.2,17.97
